Date,GC=F,return
2016-05-20,1252.4000244140625,-0.0014361502311578814
2016-05-23,1251.0999755859375,-0.001038585136795765
2016-05-24,1228.9000244140625,-0.01790366465212703
2016-05-25,1223.5,-0.004403876274423123
2016-05-26,1220.0999755859375,-0.002782801311324475
2016-05-27,1213.800048828125,-0.005176827942159796
2016-05-31,1214.800048828125,0.000823519736724513
2016-06-01,1211.9000244140625,-0.002390098246246816
2016-06-02,1209.800048828125,-0.0017342990864130377
2016-06-03,1240.0999755859375,0.024736904788247527
2016-06-06,1244.5999755859375,0.0036221716975720704
2016-06-07,1244.4000244140625,-0.00016066787650068854
2016-06-08,1259.800048828125,0.012299511303834583
2016-06-09,1270.199951171875,0.008221312981124862
2016-06-10,1273.4000244140625,0.002516177827683463
2016-06-13,1284.4000244140625,0.008601194468236007
2016-06-14,1285.5999755859375,0.0009338142093947642
