Date,CL=F,return
2016-04-29,45.91999816894531,-0.0023926191729948983
2016-05-02,44.779998779296875,-0.02513912822582473
2016-05-03,43.650001525878906,-0.025558266667856357
2016-05-04,43.779998779296875,0.00297374696930555
2016-05-05,44.31999969482422,0.012258971341242991
2016-05-06,44.65999984741211,0.0076422074420618765
2016-05-09,43.439998626708984,-0.027697598983188847
2016-05-10,44.65999984741211,0.027697598983188857
2016-05-11,46.22999954223633,0.0345506851029041
2016-05-12,46.70000076293945,0.01011525291362553
2016-05-13,46.209999084472656,-0.01054797594203077
2016-05-16,47.720001220703125,0.03215441774039584
2016-05-17,48.310001373291016,0.012287984182705658
2016-05-18,48.189998626708984,-0.0024871048381419295
2016-05-19,48.15999984741211,-0.0006227043226014196
2016-05-20,47.75,-0.00854973090547315
2016-05-23,48.08000183105469,0.0068872613837122525
2016-05-24,48.619998931884766,0.01116861860888626
2016-05-25,49.560001373291016,0.0191491375512688
2016-05-26,49.47999954223633,-0.0016155461978085452
2016-05-27,49.33000183105469,-0.003036085908670593
2016-05-31,49.099998474121094,-0.00467344864061666
2016-06-01,49.0099983215332,-0.001834679049490509
2016-06-02,49.16999816894531,0.003259319510561356
2016-06-03,48.619998931884766,-0.01124869726524388
2016-06-06,49.689998626708984,0.021768731057720155
2016-06-07,50.36000061035156,0.013393543318857108
2016-06-08,51.22999954223633,0.017128067719734606
2016-06-09,50.560001373291016,-0.01316451201543794
2016-06-10,49.06999969482422,-0.029912933117592452
2016-06-13,48.880001068115234,-0.0038795071674950733
2016-06-14,48.4900016784668,-0.008010710983164103
2016-06-15,48.0099983215332,-0.009948338149886554
2016-06-16,46.209999084472656,-0.03821308251221956
