Date,ZN=F,return
2010-04-26,116.578125,0.0010728175898205893
2010-04-27,117.65625,0.00920558832242482
2010-04-28,117.0,-0.005593302636511326
2010-04-29,117.4375,0.0037323423759279455
2010-04-30,117.90625,0.00398353999089987
2010-05-03,117.484375,-0.003584471146228828
2010-05-04,118.140625,0.005570306180243071
2010-05-05,118.671875,0.004486679471603366
2010-05-06,119.921875,0.010478157425524628
2010-05-07,119.6875,-0.0019563097207609425
2010-05-10,118.9375,-0.006286034318596838
2010-05-11,119.015625,0.0006566419567479571
2010-05-12,118.796875,-0.0018396851443515233
2010-05-13,118.859375,0.0005259697688645441
2010-05-14,119.765625,0.007595636308613382
2010-05-17,119.578125,-0.0015667844959933914
2010-05-18,120.203125,0.005213096649013646
2010-05-19,120.25,0.00038988888660771413
2010-05-20,120.953125,0.0058301648591709545
2010-05-21,121.3125,0.002966787084187377
2010-05-24,121.171875,-0.0011598686782616256
2010-05-25,121.671875,0.004117879966346994
2010-05-26,121.15625,-0.004246837346111649
2010-05-27,120.3125,-0.006988510389099224
2010-05-28,120.671875,0.0029825607274887598
2010-06-01,120.671875,0.0
2010-06-02,120.375,-0.0024632150913023597
2010-06-03,120.1875,-0.0015588467692910788
2010-06-04,121.546875,0.011246967498103697
2010-06-07,121.65625,0.0008994539636268864
2010-06-08,121.8125,0.0012835324570504144
2010-06-09,121.640625,-0.0014119763593527796
2010-06-10,120.625,-0.008384441249276888
2010-06-11,121.390625,0.006327091931598859
2010-06-14,120.953125,-0.003610577745707347
2010-06-15,120.71875,-0.001939613978486774
2010-06-16,120.890625,0.0014227513232278298
2010-06-17,121.546875,0.00541377965731959
2010-06-18,121.265625,-0.0023166033526352183
2010-06-21,121.15625,-0.0009023526232643418
2010-06-22,120.90625,-0.0020655829704161856
2010-06-23,121.359375,0.0037407331591891623
2010-06-24,121.328125,-0.00025753283685986535
2010-06-25,121.484375,0.0012870014646474616
2010-06-28,122.140625,0.005387391172895513
2010-06-29,122.53125,0.003193054631946528
2010-06-30,122.546875,0.00012751036038945616
2010-07-01,122.609375,0.0005098789148067248
2010-07-02,122.3125,-0.0024242436115063915
2010-07-06,122.734375,0.0034432221737546163
2010-07-07,122.4375,-0.0024217716252902107
2010-07-08,122.15625,-0.002299732711531209
2010-07-09,121.921875,-0.0019204922361388376
