Date,ZB=F,return
2010-06-16,123.6875,0.003036439579950319
2010-06-17,124.90625,0.009805232548812541
2010-06-18,124.46875,-0.003508775529679254
2010-06-21,124.28125,-0.001507537973953605
2010-06-22,124.75,0.0037645922236640623
2010-06-23,125.34375,0.004748228338698377
2010-06-24,125.03125,-0.002496256912817802
2010-06-25,125.34375,0.0024962569128179086
2010-06-28,126.28125,0.007451599308420799
2010-06-29,127.125,0.006659292089976997
2010-06-30,127.5,0.0029455102297567446
2010-07-01,128.0,0.003913899321136315
2010-07-02,127.15625,-0.00661361871765376
2010-07-06,128.0,0.006613618717653685
2010-07-07,127.3125,-0.005385569932592585
2010-07-08,126.78125,-0.00418153358030388
2010-07-09,126.28125,-0.003951598127973556
